study,split,prefix,yyyymmdd,HHMM,datetime,count,filename,path_img,path_txt
study1,test_b01,t1,20221103,1556,2022-11-03 15:56:00,9,t1-20221103-1556_jpg.rf.c97ec0beb8b8a68d4b9f2d3ebb071d7b,test_b01/images/t1-20221103-1556_jpg.rf.c97ec0beb8b8a68d4b9f2d3ebb071d7b.jpg,test_b01/labels/t1-20221103-1556_jpg.rf.c97ec0beb8b8a68d4b9f2d3ebb071d7b.txt
study1,test_b01,t1,20221103,1626,2022-11-03 16:26:00,83,t1-20221103-1626_jpg.rf.ea75a486b2b11c5c02b34075d090a597,test_b01/images/t1-20221103-1626_jpg.rf.ea75a486b2b11c5c02b34075d090a597.jpg,test_b01/labels/t1-20221103-1626_jpg.rf.ea75a486b2b11c5c02b34075d090a597.txt
study1,test_b01,t1,20221103,1656,2022-11-03 16:56:00,57,t1-20221103-1656_jpg.rf.b18995d5bd59ba542b534c231eeeb8c1,test_b01/images/t1-20221103-1656_jpg.rf.b18995d5bd59ba542b534c231eeeb8c1.jpg,test_b01/labels/t1-20221103-1656_jpg.rf.b18995d5bd59ba542b534c231eeeb8c1.txt
study1,test_b01,t1,20221103,1726,2022-11-03 17:26:00,39,t1-20221103-1726_jpg.rf.b70a3c0af38e652474cb6386e287213d,test_b01/images/t1-20221103-1726_jpg.rf.b70a3c0af38e652474cb6386e287213d.jpg,test_b01/labels/t1-20221103-1726_jpg.rf.b70a3c0af38e652474cb6386e287213d.txt
study1,test_b01,t1,20221103,1756,2022-11-03 17:56:00,51,t1-20221103-1756_jpg.rf.5a77cb459c4e7d999a70f8df18308a3e,test_b01/images/t1-20221103-1756_jpg.rf.5a77cb459c4e7d999a70f8df18308a3e.jpg,test_b01/labels/t1-20221103-1756_jpg.rf.5a77cb459c4e7d999a70f8df18308a3e.txt
study1,test_b01,t1,20221103,1826,2022-11-03 18:26:00,44,t1-20221103-1826_jpg.rf.96b1d9465fb0692e15a1458ce1672cf7,test_b01/images/t1-20221103-1826_jpg.rf.96b1d9465fb0692e15a1458ce1672cf7.jpg,test_b01/labels/t1-20221103-1826_jpg.rf.96b1d9465fb0692e15a1458ce1672cf7.txt
study1,test_b01,t1,20221103,1856,2022-11-03 18:56:00,45,t1-20221103-1856_jpg.rf.93cfff0195b4c5cfb541da749ba113d3,test_b01/images/t1-20221103-1856_jpg.rf.93cfff0195b4c5cfb541da749ba113d3.jpg,test_b01/labels/t1-20221103-1856_jpg.rf.93cfff0195b4c5cfb541da749ba113d3.txt
study1,test_b01,t1,20221103,1926,2022-11-03 19:26:00,38,t1-20221103-1926_jpg.rf.ca2884ed5fd1ee7f4caa7ff9f6cd10f3,test_b01/images/t1-20221103-1926_jpg.rf.ca2884ed5fd1ee7f4caa7ff9f6cd10f3.jpg,test_b01/labels/t1-20221103-1926_jpg.rf.ca2884ed5fd1ee7f4caa7ff9f6cd10f3.txt
study1,test_b01,t1,20221103,1956,2022-11-03 19:56:00,37,t1-20221103-1956_jpg.rf.c7543d957103fa0a70c8f6f0d9b9f0c5,test_b01/images/t1-20221103-1956_jpg.rf.c7543d957103fa0a70c8f6f0d9b9f0c5.jpg,test_b01/labels/t1-20221103-1956_jpg.rf.c7543d957103fa0a70c8f6f0d9b9f0c5.txt
study1,test_b01,t1,20221103,2026,2022-11-03 20:26:00,31,t1-20221103-2026_jpg.rf.1471fd97b0b082b1dd04f9f03083f097,test_b01/images/t1-20221103-2026_jpg.rf.1471fd97b0b082b1dd04f9f03083f097.jpg,test_b01/labels/t1-20221103-2026_jpg.rf.1471fd97b0b082b1dd04f9f03083f097.txt
study1,test_b01,t1,20221103,2056,2022-11-03 20:56:00,46,t1-20221103-2056_jpg.rf.e2b8f36d6a5ff71c38befcaedd73c085,test_b01/images/t1-20221103-2056_jpg.rf.e2b8f36d6a5ff71c38befcaedd73c085.jpg,test_b01/labels/t1-20221103-2056_jpg.rf.e2b8f36d6a5ff71c38befcaedd73c085.txt
study1,test_b01,t1,20221103,2126,2022-11-03 21:26:00,34,t1-20221103-2126_jpg.rf.fcf20d1263b5420de4fd757ef10c56ac,test_b01/images/t1-20221103-2126_jpg.rf.fcf20d1263b5420de4fd757ef10c56ac.jpg,test_b01/labels/t1-20221103-2126_jpg.rf.fcf20d1263b5420de4fd757ef10c56ac.txt
study1,test_b01,t1,20221103,2156,2022-11-03 21:56:00,29,t1-20221103-2156_jpg.rf.344de4c8e0c41d189705be34fa616029,test_b01/images/t1-20221103-2156_jpg.rf.344de4c8e0c41d189705be34fa616029.jpg,test_b01/labels/t1-20221103-2156_jpg.rf.344de4c8e0c41d189705be34fa616029.txt
study1,test_b01,t1,20221103,2226,2022-11-03 22:26:00,28,t1-20221103-2226_jpg.rf.571f29f420489ea7d7f9ddc5536b25ad,test_b01/images/t1-20221103-2226_jpg.rf.571f29f420489ea7d7f9ddc5536b25ad.jpg,test_b01/labels/t1-20221103-2226_jpg.rf.571f29f420489ea7d7f9ddc5536b25ad.txt
study1,test_b01,t1,20221103,2256,2022-11-03 22:56:00,30,t1-20221103-2256_jpg.rf.ac9da048fa7e7819ccfb3ed83da6998d,test_b01/images/t1-20221103-2256_jpg.rf.ac9da048fa7e7819ccfb3ed83da6998d.jpg,test_b01/labels/t1-20221103-2256_jpg.rf.ac9da048fa7e7819ccfb3ed83da6998d.txt
study1,test_b01,t1,20221103,2326,2022-11-03 23:26:00,31,t1-20221103-2326_jpg.rf.fa7e38b04596fc48b052046786da92a7,test_b01/images/t1-20221103-2326_jpg.rf.fa7e38b04596fc48b052046786da92a7.jpg,test_b01/labels/t1-20221103-2326_jpg.rf.fa7e38b04596fc48b052046786da92a7.txt
study1,test_b01,t1,20221103,2356,2022-11-03 23:56:00,26,t1-20221103-2356_jpg.rf.c1721f5ce2e95de3cd170a549673cce3,test_b01/images/t1-20221103-2356_jpg.rf.c1721f5ce2e95de3cd170a549673cce3.jpg,test_b01/labels/t1-20221103-2356_jpg.rf.c1721f5ce2e95de3cd170a549673cce3.txt
study1,test_b01,t1,20221104,0026,2022-11-04 00:26:00,24,t1-20221104-0026_jpg.rf.29f684f70e3a8db2e6118c77e1960fbc,test_b01/images/t1-20221104-0026_jpg.rf.29f684f70e3a8db2e6118c77e1960fbc.jpg,test_b01/labels/t1-20221104-0026_jpg.rf.29f684f70e3a8db2e6118c77e1960fbc.txt
study1,test_b01,t1,20221104,0056,2022-11-04 00:56:00,23,t1-20221104-0056_jpg.rf.9c0ff787f0b815613d697815ecac8489,test_b01/images/t1-20221104-0056_jpg.rf.9c0ff787f0b815613d697815ecac8489.jpg,test_b01/labels/t1-20221104-0056_jpg.rf.9c0ff787f0b815613d697815ecac8489.txt
study1,test_b01,t1,20221104,0126,2022-11-04 01:26:00,28,t1-20221104-0126_jpg.rf.f1d6ed891579388778f067551798c3f6,test_b01/images/t1-20221104-0126_jpg.rf.f1d6ed891579388778f067551798c3f6.jpg,test_b01/labels/t1-20221104-0126_jpg.rf.f1d6ed891579388778f067551798c3f6.txt
study1,test_b01,t1,20221104,0156,2022-11-04 01:56:00,34,t1-20221104-0156_jpg.rf.cf51bd2b88bd4c5f663f2ec37080213d,test_b01/images/t1-20221104-0156_jpg.rf.cf51bd2b88bd4c5f663f2ec37080213d.jpg,test_b01/labels/t1-20221104-0156_jpg.rf.cf51bd2b88bd4c5f663f2ec37080213d.txt
study1,test_b01,t1,20221104,0226,2022-11-04 02:26:00,30,t1-20221104-0226_jpg.rf.88c7888c80aed75d22049623787733a7,test_b01/images/t1-20221104-0226_jpg.rf.88c7888c80aed75d22049623787733a7.jpg,test_b01/labels/t1-20221104-0226_jpg.rf.88c7888c80aed75d22049623787733a7.txt
study1,test_b01,t1,20221104,0256,2022-11-04 02:56:00,30,t1-20221104-0256_jpg.rf.3a6d8ca0412589a050892a59e5b01604,test_b01/images/t1-20221104-0256_jpg.rf.3a6d8ca0412589a050892a59e5b01604.jpg,test_b01/labels/t1-20221104-0256_jpg.rf.3a6d8ca0412589a050892a59e5b01604.txt
study1,test_b01,t1,20221104,0326,2022-11-04 03:26:00,34,t1-20221104-0326_jpg.rf.2894e0111315c300b72bc0041f217b1e,test_b01/images/t1-20221104-0326_jpg.rf.2894e0111315c300b72bc0041f217b1e.jpg,test_b01/labels/t1-20221104-0326_jpg.rf.2894e0111315c300b72bc0041f217b1e.txt
study1,test_b01,t1,20221104,0356,2022-11-04 03:56:00,38,t1-20221104-0356_jpg.rf.67a67f410fa34c79c32274a19a424ac3,test_b01/images/t1-20221104-0356_jpg.rf.67a67f410fa34c79c32274a19a424ac3.jpg,test_b01/labels/t1-20221104-0356_jpg.rf.67a67f410fa34c79c32274a19a424ac3.txt
study1,test_b01,t1,20221104,0426,2022-11-04 04:26:00,27,t1-20221104-0426_jpg.rf.e4457251160ecf6cb6461c3dd4abb34a,test_b01/images/t1-20221104-0426_jpg.rf.e4457251160ecf6cb6461c3dd4abb34a.jpg,test_b01/labels/t1-20221104-0426_jpg.rf.e4457251160ecf6cb6461c3dd4abb34a.txt
study1,test_b01,t1,20221104,0456,2022-11-04 04:56:00,37,t1-20221104-0456_jpg.rf.052ca03b20aa9bed0e3bddb57482a5e0,test_b01/images/t1-20221104-0456_jpg.rf.052ca03b20aa9bed0e3bddb57482a5e0.jpg,test_b01/labels/t1-20221104-0456_jpg.rf.052ca03b20aa9bed0e3bddb57482a5e0.txt
study1,test_b01,t1,20221104,0526,2022-11-04 05:26:00,29,t1-20221104-0526_jpg.rf.a13899e20584358e318621b66259b4b0,test_b01/images/t1-20221104-0526_jpg.rf.a13899e20584358e318621b66259b4b0.jpg,test_b01/labels/t1-20221104-0526_jpg.rf.a13899e20584358e318621b66259b4b0.txt
study1,test_b01,t1,20221104,0556,2022-11-04 05:56:00,30,t1-20221104-0556_jpg.rf.dcccdff799241bc2c07c4b9cbb792161,test_b01/images/t1-20221104-0556_jpg.rf.dcccdff799241bc2c07c4b9cbb792161.jpg,test_b01/labels/t1-20221104-0556_jpg.rf.dcccdff799241bc2c07c4b9cbb792161.txt
study1,test_b01,t1,20221104,0626,2022-11-04 06:26:00,21,t1-20221104-0626_jpg.rf.c4fcf04419bbc7814ce5fded34c19be5,test_b01/images/t1-20221104-0626_jpg.rf.c4fcf04419bbc7814ce5fded34c19be5.jpg,test_b01/labels/t1-20221104-0626_jpg.rf.c4fcf04419bbc7814ce5fded34c19be5.txt
study1,test_b01,t1,20221104,0656,2022-11-04 06:56:00,30,t1-20221104-0656_jpg.rf.bdc7ac35402eb1b062f6b4915e0d97cb,test_b01/images/t1-20221104-0656_jpg.rf.bdc7ac35402eb1b062f6b4915e0d97cb.jpg,test_b01/labels/t1-20221104-0656_jpg.rf.bdc7ac35402eb1b062f6b4915e0d97cb.txt
study1,test_b01,t1,20221104,0726,2022-11-04 07:26:00,24,t1-20221104-0726_jpg.rf.ebd199ad22b8cb7076e9136124dbe994,test_b01/images/t1-20221104-0726_jpg.rf.ebd199ad22b8cb7076e9136124dbe994.jpg,test_b01/labels/t1-20221104-0726_jpg.rf.ebd199ad22b8cb7076e9136124dbe994.txt
study1,test_b01,t1,20221104,0756,2022-11-04 07:56:00,26,t1-20221104-0756_jpg.rf.51ac9c30b2d6a127c7215521da45df32,test_b01/images/t1-20221104-0756_jpg.rf.51ac9c30b2d6a127c7215521da45df32.jpg,test_b01/labels/t1-20221104-0756_jpg.rf.51ac9c30b2d6a127c7215521da45df32.txt
study1,test_b01,t1,20221104,0826,2022-11-04 08:26:00,23,t1-20221104-0826_jpg.rf.08e336d2163ad0428d4c3149df8aa9e0,test_b01/images/t1-20221104-0826_jpg.rf.08e336d2163ad0428d4c3149df8aa9e0.jpg,test_b01/labels/t1-20221104-0826_jpg.rf.08e336d2163ad0428d4c3149df8aa9e0.txt
study1,test_b01,t1,20221104,0856,2022-11-04 08:56:00,19,t1-20221104-0856_jpg.rf.c91b9ceba4bd7f9fc4fcb52cbdad7a1f,test_b01/images/t1-20221104-0856_jpg.rf.c91b9ceba4bd7f9fc4fcb52cbdad7a1f.jpg,test_b01/labels/t1-20221104-0856_jpg.rf.c91b9ceba4bd7f9fc4fcb52cbdad7a1f.txt
study1,test_b01,t1,20221104,0926,2022-11-04 09:26:00,23,t1-20221104-0926_jpg.rf.323cf34c13165ae6eb74c6d70c079615,test_b01/images/t1-20221104-0926_jpg.rf.323cf34c13165ae6eb74c6d70c079615.jpg,test_b01/labels/t1-20221104-0926_jpg.rf.323cf34c13165ae6eb74c6d70c079615.txt
study1,test_b01,t1,20221104,0956,2022-11-04 09:56:00,23,t1-20221104-0956_jpg.rf.eda07fdbdc2eb8b8803460a92605f39f,test_b01/images/t1-20221104-0956_jpg.rf.eda07fdbdc2eb8b8803460a92605f39f.jpg,test_b01/labels/t1-20221104-0956_jpg.rf.eda07fdbdc2eb8b8803460a92605f39f.txt
study1,test_b01,t1,20221104,1026,2022-11-04 10:26:00,19,t1-20221104-1026_jpg.rf.d1766114aba228088dec6482a2f11fb9,test_b01/images/t1-20221104-1026_jpg.rf.d1766114aba228088dec6482a2f11fb9.jpg,test_b01/labels/t1-20221104-1026_jpg.rf.d1766114aba228088dec6482a2f11fb9.txt
study1,test_b01,t1,20221104,1056,2022-11-04 10:56:00,31,t1-20221104-1056_jpg.rf.1547fb15b9faf0b54acb4d4b64db1a44,test_b01/images/t1-20221104-1056_jpg.rf.1547fb15b9faf0b54acb4d4b64db1a44.jpg,test_b01/labels/t1-20221104-1056_jpg.rf.1547fb15b9faf0b54acb4d4b64db1a44.txt
study1,test_b01,t1,20221104,1126,2022-11-04 11:26:00,21,t1-20221104-1126_jpg.rf.7103fc969b521adcb5380bcb588450a3,test_b01/images/t1-20221104-1126_jpg.rf.7103fc969b521adcb5380bcb588450a3.jpg,test_b01/labels/t1-20221104-1126_jpg.rf.7103fc969b521adcb5380bcb588450a3.txt
study1,test_b01,t1,20221104,1156,2022-11-04 11:56:00,26,t1-20221104-1156_jpg.rf.95875277634941c7533d168a0209d276,test_b01/images/t1-20221104-1156_jpg.rf.95875277634941c7533d168a0209d276.jpg,test_b01/labels/t1-20221104-1156_jpg.rf.95875277634941c7533d168a0209d276.txt
study1,test_b01,t1,20221104,1226,2022-11-04 12:26:00,30,t1-20221104-1226_jpg.rf.f7f9bb3a3d2b466382bf9ec6979ebd04,test_b01/images/t1-20221104-1226_jpg.rf.f7f9bb3a3d2b466382bf9ec6979ebd04.jpg,test_b01/labels/t1-20221104-1226_jpg.rf.f7f9bb3a3d2b466382bf9ec6979ebd04.txt
study1,test_b01,t1,20221104,1256,2022-11-04 12:56:00,17,t1-20221104-1256_jpg.rf.31db510700512fe2a599176bd72f1019,test_b01/images/t1-20221104-1256_jpg.rf.31db510700512fe2a599176bd72f1019.jpg,test_b01/labels/t1-20221104-1256_jpg.rf.31db510700512fe2a599176bd72f1019.txt
study1,test_b01,t1,20221104,1326,2022-11-04 13:26:00,22,t1-20221104-1326_jpg.rf.d54376355932e2be87a42694ce7b465e,test_b01/images/t1-20221104-1326_jpg.rf.d54376355932e2be87a42694ce7b465e.jpg,test_b01/labels/t1-20221104-1326_jpg.rf.d54376355932e2be87a42694ce7b465e.txt
study1,test_b01,t1,20221104,1356,2022-11-04 13:56:00,24,t1-20221104-1356_jpg.rf.74912cb74aa9215dae2ba2d161a12fdc,test_b01/images/t1-20221104-1356_jpg.rf.74912cb74aa9215dae2ba2d161a12fdc.jpg,test_b01/labels/t1-20221104-1356_jpg.rf.74912cb74aa9215dae2ba2d161a12fdc.txt
study1,test_b01,t1,20221104,1426,2022-11-04 14:26:00,21,t1-20221104-1426_jpg.rf.c4bd40cb720d3b713c7a945442ba469d,test_b01/images/t1-20221104-1426_jpg.rf.c4bd40cb720d3b713c7a945442ba469d.jpg,test_b01/labels/t1-20221104-1426_jpg.rf.c4bd40cb720d3b713c7a945442ba469d.txt
study1,test_b01,t1,20221104,1456,2022-11-04 14:56:00,13,t1-20221104-1456_jpg.rf.3742e3470ec0155e99bad17db9ee0f6a,test_b01/images/t1-20221104-1456_jpg.rf.3742e3470ec0155e99bad17db9ee0f6a.jpg,test_b01/labels/t1-20221104-1456_jpg.rf.3742e3470ec0155e99bad17db9ee0f6a.txt
study1,test_b01,t1,20221104,1526,2022-11-04 15:26:00,15,t1-20221104-1526_jpg.rf.df277ea9b5b53288beffa3c08f1ed396,test_b01/images/t1-20221104-1526_jpg.rf.df277ea9b5b53288beffa3c08f1ed396.jpg,test_b01/labels/t1-20221104-1526_jpg.rf.df277ea9b5b53288beffa3c08f1ed396.txt
study1,test_b01,t1,20221104,1556,2022-11-04 15:56:00,19,t1-20221104-1556_jpg.rf.acd358b678302a2e23600b78fe430692,test_b01/images/t1-20221104-1556_jpg.rf.acd358b678302a2e23600b78fe430692.jpg,test_b01/labels/t1-20221104-1556_jpg.rf.acd358b678302a2e23600b78fe430692.txt
study1,test_b01,t2,20221104,1624,2022-11-04 16:24:00,0,t2-20221104-1624_jpg.rf.43cba871cf5a73eef73ea885de375bbb,test_b01/images/t2-20221104-1624_jpg.rf.43cba871cf5a73eef73ea885de375bbb.jpg,test_b01/labels/t2-20221104-1624_jpg.rf.43cba871cf5a73eef73ea885de375bbb.txt
study1,test_b01,t2,20221104,1626,2022-11-04 16:26:00,1,t2-20221104-1626_jpg.rf.c21a16df9d07d20f19a483a44ca9173a,test_b01/images/t2-20221104-1626_jpg.rf.c21a16df9d07d20f19a483a44ca9173a.jpg,test_b01/labels/t2-20221104-1626_jpg.rf.c21a16df9d07d20f19a483a44ca9173a.txt
study1,test_b01,t2,20221104,1633,2022-11-04 16:33:00,4,t2-20221104-1633_jpg.rf.6df0cddff6e54ccca68e64afe624f19b,test_b01/images/t2-20221104-1633_jpg.rf.6df0cddff6e54ccca68e64afe624f19b.jpg,test_b01/labels/t2-20221104-1633_jpg.rf.6df0cddff6e54ccca68e64afe624f19b.txt
study1,test_b01,t2,20221104,1634,2022-11-04 16:34:00,7,t2-20221104-1634_jpg.rf.4a2207ab49f1b04fe4d9ec967f0c8495,test_b01/images/t2-20221104-1634_jpg.rf.4a2207ab49f1b04fe4d9ec967f0c8495.jpg,test_b01/labels/t2-20221104-1634_jpg.rf.4a2207ab49f1b04fe4d9ec967f0c8495.txt
study1,test_b01,t2,20221104,1638,2022-11-04 16:38:00,3,t2-20221104-1638_jpg.rf.59f9cab1a3ff88aed5989da2dba2e2c9,test_b01/images/t2-20221104-1638_jpg.rf.59f9cab1a3ff88aed5989da2dba2e2c9.jpg,test_b01/labels/t2-20221104-1638_jpg.rf.59f9cab1a3ff88aed5989da2dba2e2c9.txt
study1,test_b01,t2,20221104,1708,2022-11-04 17:08:00,28,t2-20221104-1708_jpg.rf.48c4d6b88b3337c0aad3c38dd3e6ea45,test_b01/images/t2-20221104-1708_jpg.rf.48c4d6b88b3337c0aad3c38dd3e6ea45.jpg,test_b01/labels/t2-20221104-1708_jpg.rf.48c4d6b88b3337c0aad3c38dd3e6ea45.txt
study1,test_b01,t2,20221104,1738,2022-11-04 17:38:00,20,t2-20221104-1738_jpg.rf.7f44fdcf1b0b53f1c372c7962c50855f,test_b01/images/t2-20221104-1738_jpg.rf.7f44fdcf1b0b53f1c372c7962c50855f.jpg,test_b01/labels/t2-20221104-1738_jpg.rf.7f44fdcf1b0b53f1c372c7962c50855f.txt
study1,test_b01,t2,20221104,1808,2022-11-04 18:08:00,21,t2-20221104-1808_jpg.rf.b79713d86c28cd7e70eec1222dfb08ff,test_b01/images/t2-20221104-1808_jpg.rf.b79713d86c28cd7e70eec1222dfb08ff.jpg,test_b01/labels/t2-20221104-1808_jpg.rf.b79713d86c28cd7e70eec1222dfb08ff.txt
study1,test_b01,t2,20221104,1838,2022-11-04 18:38:00,27,t2-20221104-1838_jpg.rf.ab21244fa0c52a05b201b1fb94eee152,test_b01/images/t2-20221104-1838_jpg.rf.ab21244fa0c52a05b201b1fb94eee152.jpg,test_b01/labels/t2-20221104-1838_jpg.rf.ab21244fa0c52a05b201b1fb94eee152.txt
study1,test_b01,t2,20221104,1908,2022-11-04 19:08:00,16,t2-20221104-1908_jpg.rf.cfadeb435800065175e7797b248463b1,test_b01/images/t2-20221104-1908_jpg.rf.cfadeb435800065175e7797b248463b1.jpg,test_b01/labels/t2-20221104-1908_jpg.rf.cfadeb435800065175e7797b248463b1.txt
study1,test_b01,t2,20221104,1938,2022-11-04 19:38:00,17,t2-20221104-1938_jpg.rf.82107c094bc50ce42787ed73bcdf0085,test_b01/images/t2-20221104-1938_jpg.rf.82107c094bc50ce42787ed73bcdf0085.jpg,test_b01/labels/t2-20221104-1938_jpg.rf.82107c094bc50ce42787ed73bcdf0085.txt
study1,test_b01,t2,20221104,2008,2022-11-04 20:08:00,15,t2-20221104-2008_jpg.rf.9af30436db2e14556b4d8754bc420515,test_b01/images/t2-20221104-2008_jpg.rf.9af30436db2e14556b4d8754bc420515.jpg,test_b01/labels/t2-20221104-2008_jpg.rf.9af30436db2e14556b4d8754bc420515.txt
study1,test_b01,t2,20221104,2038,2022-11-04 20:38:00,14,t2-20221104-2038_jpg.rf.0855b2a35a7544b87630c20134f1b64d,test_b01/images/t2-20221104-2038_jpg.rf.0855b2a35a7544b87630c20134f1b64d.jpg,test_b01/labels/t2-20221104-2038_jpg.rf.0855b2a35a7544b87630c20134f1b64d.txt
study1,test_b01,t2,20221104,2108,2022-11-04 21:08:00,6,t2-20221104-2108_jpg.rf.8aaed7cc0e563d9b100f8474875f0c88,test_b01/images/t2-20221104-2108_jpg.rf.8aaed7cc0e563d9b100f8474875f0c88.jpg,test_b01/labels/t2-20221104-2108_jpg.rf.8aaed7cc0e563d9b100f8474875f0c88.txt
study1,test_b01,t2,20221104,2138,2022-11-04 21:38:00,16,t2-20221104-2138_jpg.rf.bbf246b8fde51e9e2653fd42da4b475d,test_b01/images/t2-20221104-2138_jpg.rf.bbf246b8fde51e9e2653fd42da4b475d.jpg,test_b01/labels/t2-20221104-2138_jpg.rf.bbf246b8fde51e9e2653fd42da4b475d.txt
study1,test_b01,t2,20221104,2208,2022-11-04 22:08:00,6,t2-20221104-2208_jpg.rf.0e5dae9fd7a1bb0d3e2b2eccead09ad3,test_b01/images/t2-20221104-2208_jpg.rf.0e5dae9fd7a1bb0d3e2b2eccead09ad3.jpg,test_b01/labels/t2-20221104-2208_jpg.rf.0e5dae9fd7a1bb0d3e2b2eccead09ad3.txt
study1,test_b01,t2,20221104,2238,2022-11-04 22:38:00,4,t2-20221104-2238_jpg.rf.a69448a2bf84839e9e112a90083585c7,test_b01/images/t2-20221104-2238_jpg.rf.a69448a2bf84839e9e112a90083585c7.jpg,test_b01/labels/t2-20221104-2238_jpg.rf.a69448a2bf84839e9e112a90083585c7.txt
