study,split,model,n,pre_mean,pre_median,pre_std,pre_min,pre_max,rec_mean,rec_median,rec_std,rec_min,rec_max
1,test_a01,yolov8m,64,0.9019199999999999,0.9028,0.016025197264571196,0.8587,0.9294,0.8631650000000001,0.88695,0.09895694052944122,0.4481,0.9184
1,test_a01,yolov8m,128,0.9148799999999999,0.9135,0.009264965134708729,0.899,0.9405,0.9016299999999999,0.90445,0.015667569589508913,0.8483,0.9204
1,test_a01,yolov8m,256,0.921555,0.9203,0.011959161869946392,0.8924,0.938,0.912415,0.91405,0.011270141034936907,0.8852,0.9308
1,test_a01,yolov8m,512,0.926925,0.9268000000000001,0.007971520029388827,0.9103,0.943,0.922095,0.92205,0.006197747893176045,0.9129,0.9348
1,test_a01,yolov8m,1024,0.9334149999999999,0.9339500000000001,0.006014217803627812,0.9255,0.9431,0.92842,0.9299,0.008803384516614526,0.9114,0.9435
1,test_a02,yolov8m,64,0.7786150000000001,0.7835000000000001,0.04577945154990967,0.6817,0.902,0.800435,0.82765,0.08823537466404992,0.436,0.8412
1,test_a02,yolov8m,128,0.786195,0.7835,0.033276678651951754,0.7275,0.8399,0.837575,0.8381000000000001,0.027464960931109453,0.7536,0.8705
1,test_a02,yolov8m,256,0.80418,0.80995,0.030845704298722205,0.7187,0.8604,0.85562,0.8587,0.02563853185713787,0.7891,0.8942
1,test_a02,yolov8m,512,0.807235,0.80115,0.029251725545143832,0.771,0.8873,0.8614750000000001,0.86175,0.01961247924422773,0.827,0.8981
1,test_a02,yolov8m,1024,0.8374599999999999,0.84425,0.02871763441364538,0.7577,0.8828,0.868485,0.87165,0.018365622204199003,0.84,0.8949
1,test_a03,yolov8m,64,0.867615,0.8689,0.03140754644483092,0.7929,0.9147,0.727895,0.7427,0.09714662534431896,0.345,0.818
1,test_a03,yolov8m,128,0.88211,0.88185,0.017599907296406585,0.8378,0.9172,0.7797499999999999,0.79095,0.04114498754404966,0.6696,0.8158
1,test_a03,yolov8m,256,0.8831450000000001,0.8841,0.021618716915039884,0.8334,0.9196,0.7915300000000001,0.788,0.026059831966174736,0.7251,0.8363
1,test_a03,yolov8m,512,0.892285,0.8956500000000001,0.022368734641764705,0.8444,0.9248,0.813885,0.81725,0.02072751222790364,0.7749,0.845
1,test_a03,yolov8m,1024,0.906735,0.9029499999999999,0.01595520951057414,0.8804,0.9385,0.829525,0.8289500000000001,0.01547935382168267,0.8012,0.8626
1,test_b01,yolov8m,64,0.759325,0.7709,0.051263025302433096,0.6557,0.8319,0.70525,0.7211000000000001,0.06892127087443589,0.455,0.7829
1,test_b01,yolov8m,128,0.7935450000000001,0.7962,0.04279529579410875,0.7117,0.8502,0.73656,0.7417,0.04229767195285788,0.5773,0.7811
1,test_b01,yolov8m,256,0.800855,0.81955,0.04842944379523462,0.7186,0.8829,0.76925,0.7722500000000001,0.024746919000150313,0.7203,0.8142
1,test_b01,yolov8m,512,0.79627,0.80745,0.03737352144584662,0.7092,0.844,0.783575,0.782,0.022321758914848784,0.748,0.8313
1,test_b01,yolov8m,1024,0.825515,0.82805,0.02018363784955788,0.7908,0.8645,0.795985,0.8024,0.021459540265836363,0.7573,0.8233
1,test_b02,yolov8m,64,0.7316849999999999,0.7389,0.09302579311250471,0.4692,0.9024,0.56008,0.5874,0.12603985000575682,0.0979,0.7063
1,test_b02,yolov8m,128,0.71726,0.7416499999999999,0.14191082967464944,0.3113,0.8627,0.61311,0.6294,0.05856999321549523,0.4265,0.6853
1,test_b02,yolov8m,256,0.7062350000000001,0.7381,0.0918073685553215,0.4652,0.8052,0.626595,0.6434,0.04510473746853277,0.5245,0.6783
1,test_b02,yolov8m,512,0.658415,0.6665,0.1030875166009317,0.4466,0.8131,0.63961,0.6364,0.0396517458300189,0.5678,0.717
1,test_b02,yolov8m,1024,0.7224999999999999,0.7374,0.10036387481769053,0.5039,0.8701,0.657285,0.66405,0.06639135386796273,0.4685,0.7457
1,test_b03,yolov8m,64,0.10928500000000001,0.08515,0.08595279166342909,0.0455,0.4415,0.00571,0.0056,0.0034477910548487037,0.0001,0.0126
1,test_b03,yolov8m,128,0.12118,0.12035,0.0424431458727902,0.0414,0.2333,0.00964,0.0091,0.005049064530344105,0.0004,0.0209
1,test_b03,yolov8m,256,0.163765,0.15665,0.05680860085919161,0.0612,0.2677,0.01143,0.0086,0.006640553242646357,0.0055,0.0272
1,test_b03,yolov8m,512,0.178835,0.18159999999999998,0.038374282438002394,0.0836,0.2508,0.013059999999999999,0.0125,0.0056150549512238215,0.0028,0.0223
1,test_b03,yolov8m,1024,0.161745,0.16165000000000002,0.04562715575296429,0.0829,0.2481,0.014979999999999999,0.0133,0.006803683213022039,0.005,0.0289
2,test,yolov8m,0,0.1966,0.1966,,0.1966,0.1966,0.0103,0.0103,,0.0103,0.0103
2,test,yolov8n,0,0.1259,0.1259,,0.1259,0.1259,0.0033,0.0033,,0.0033,0.0033
2,test,yolov8x,0,0.3032,0.3032,,0.3032,0.3032,0.0121,0.0121,,0.0121,0.0121
2,test,yolov9c,0,0.3259,0.3259,,0.3259,0.3259,0.0132,0.0132,,0.0132,0.0132
2,test,yolov9e,0,0.3137,0.3137,,0.3137,0.3137,0.0212,0.0212,,0.0212,0.0212
2,test_2x2,yolov8m,0,0.7324,0.7324,,0.7324,0.7324,0.3989,0.3989,,0.3989,0.3989
2,test_2x2,yolov8n,0,0.759,0.759,,0.759,0.759,0.315,0.315,,0.315,0.315
2,test_2x2,yolov8x,0,0.7655,0.7655,,0.7655,0.7655,0.4662,0.4662,,0.4662,0.4662
2,test_2x2,yolov9c,0,0.7751,0.7751,,0.7751,0.7751,0.4435,0.4435,,0.4435,0.4435
2,test_2x2,yolov9e,0,0.8002,0.8002,,0.8002,0.8002,0.5066,0.5066,,0.5066,0.5066
2,test_2x4,yolov8m,0,0.7946,0.7946,,0.7946,0.7946,0.5605,0.5605,,0.5605,0.5605
2,test_2x4,yolov8n,0,0.8214,0.8214,,0.8214,0.8214,0.4748,0.4748,,0.4748,0.4748
2,test_2x4,yolov8x,0,0.8027,0.8027,,0.8027,0.8027,0.596,0.596,,0.596,0.596
2,test_2x4,yolov9c,0,0.7758,0.7758,,0.7758,0.7758,0.5547,0.5547,,0.5547,0.5547
2,test_2x4,yolov9e,0,0.8149,0.8149,,0.8149,0.8149,0.6393,0.6393,,0.6393,0.6393
2,test_4x10,yolov8m,0,0.8157,0.8157,,0.8157,0.8157,0.6718,0.6718,,0.6718,0.6718
2,test_4x10,yolov8n,0,0.8153,0.8153,,0.8153,0.8153,0.674,0.674,,0.674,0.674
2,test_4x10,yolov8x,0,0.8413,0.8413,,0.8413,0.8413,0.631,0.631,,0.631,0.631
2,test_4x10,yolov9c,0,0.8406,0.8406,,0.8406,0.8406,0.6292,0.6292,,0.6292,0.6292
2,test_4x10,yolov9e,0,0.8542,0.8542,,0.8542,0.8542,0.6323,0.6323,,0.6323,0.6323
2,test_4x4,yolov8m,0,0.8091,0.8091,,0.8091,0.8091,0.6551,0.6551,,0.6551,0.6551
2,test_4x4,yolov8n,0,0.8019,0.8019,,0.8019,0.8019,0.5965,0.5965,,0.5965,0.5965
2,test_4x4,yolov8x,0,0.8291,0.8291,,0.8291,0.8291,0.6535,0.6535,,0.6535,0.6535
2,test_4x4,yolov9c,0,0.8036,0.8036,,0.8036,0.8036,0.6104,0.6104,,0.6104,0.6104
2,test_4x4,yolov9e,0,0.8304,0.8304,,0.8304,0.8304,0.6309,0.6309,,0.6309,0.6309
2,test_8x10,yolov8m,0,0.4885,0.4885,,0.4885,0.4885,0.2307,0.2307,,0.2307,0.2307
2,test_8x10,yolov8n,0,0.5676,0.5676,,0.5676,0.5676,0.1778,0.1778,,0.1778,0.1778
2,test_8x10,yolov8x,0,0.4721,0.4721,,0.4721,0.4721,0.1427,0.1427,,0.1427,0.1427
2,test_8x10,yolov9c,0,0.6351,0.6351,,0.6351,0.6351,0.2039,0.2039,,0.2039,0.2039
2,test_8x10,yolov9e,0,0.6881,0.6881,,0.6881,0.6881,0.1961,0.1961,,0.1961,0.1961
