obs,pre,filename,study,split
4,5,t7-20221201-1527_jpg.rf.40534751e2ccecbbb8fed820971c9ea5,s1,test_a01
14,17,t7-20221201-1557_jpg.rf.c11e181ad2da7b147eda316ccd11ae88,s1,test_a01
19,23,t7-20221201-1627_jpg.rf.f8e46dd29e614b8a2c7e8baa91cd89d0,s1,test_a01
20,22,t7-20221201-1657_jpg.rf.b44340414d80016b39b9b52dee0fd838,s1,test_a01
14,14,t7-20221201-1727_jpg.rf.7abf4c086dacf1ff80f831b166704e37,s1,test_a01
20,21,t7-20221201-1757_jpg.rf.68de00180894e5fb0d758b36ef4f32ee,s1,test_a01
17,16,t7-20221201-1827_jpg.rf.5a4b00cb6f2743a67eb0465e9fb23f54,s1,test_a01
14,14,t7-20221201-1857_jpg.rf.a51d1f1b831bf5743e48738c37da6202,s1,test_a01
8,8,t7-20221201-1927_jpg.rf.e2eb2961e6f6da582d29e7b40d334e4e,s1,test_a01
14,16,t7-20221201-1957_jpg.rf.8689bd400ff0657a40e9cac9d97d6ec7,s1,test_a01
10,10,t7-20221201-2027_jpg.rf.6a4427989f461f6813149e9fae3854e6,s1,test_a01
6,6,t7-20221201-2057_jpg.rf.a9ee895611ca48a57967cf0e3eeab307,s1,test_a01
13,13,t7-20221201-2127_jpg.rf.29fbb63be06cbeb1a027c8c6cca6fdb9,s1,test_a01
8,8,t7-20221201-2157_jpg.rf.72e521fcec0a8368ee0639da1ba7d54a,s1,test_a01
10,10,t7-20221201-2227_jpg.rf.1ed9c5027d3c30ae2826c21fac2a72c9,s1,test_a01
8,9,t7-20221201-2257_jpg.rf.0274f184a028a6960a54bc7805ee2252,s1,test_a01
5,5,t7-20221201-2327_jpg.rf.26dc7bc7594030a95f9add915525012d,s1,test_a01
7,7,t7-20221201-2357_jpg.rf.5cb1818a4b9bbaf7393ff5f8f723477f,s1,test_a01
5,5,t7-20221202-0027_jpg.rf.de5faf3d6f898f3581b8e1f7ef713af8,s1,test_a01
2,2,t7-20221202-0057_jpg.rf.9368350b0628b6b7605e47bf7669e9eb,s1,test_a01
3,3,t7-20221202-0127_jpg.rf.da9e95809705a244b01eb1ac4cdc05f4,s1,test_a01
0,2,t7-20221202-0157_jpg.rf.32cc5ffebe4db6c39b11740969b63107,s1,test_a01
6,7,t7-20221202-0227_jpg.rf.cebfe95a926e8c4bc29fb08d65c3794f,s1,test_a01
7,8,t7-20221202-0257_jpg.rf.48c900cfa7274865c84df5cd2d445d43,s1,test_a01
6,6,t7-20221202-0327_jpg.rf.7af416aee266f7f695d526c5d1daad13,s1,test_a01
8,8,t7-20221202-0357_jpg.rf.9347fbe9230111f7b6ce18aaafb89ffa,s1,test_a01
5,6,t7-20221202-0427_jpg.rf.d0e2c44e6025e5b1c98f3e5fdad35e89,s1,test_a01
3,4,t7-20221202-0457_jpg.rf.8196533698324dcffde2d18be08074bd,s1,test_a01
3,4,t7-20221202-0527_jpg.rf.194d3ae9d164619cea62af56f5c90958,s1,test_a01
4,4,t7-20221202-0557_jpg.rf.f36447772391975b4eb82d66c0b3868f,s1,test_a01
6,6,t7-20221202-0627_jpg.rf.44c43cef14ee5b3b6abe1d6044fee403,s1,test_a01
5,5,t7-20221202-0657_jpg.rf.0bef513482b3a5ff13ab9a7b33bfef4b,s1,test_a01
7,7,t7-20221202-0727_jpg.rf.e1d5e020829d1ba3a1b5d17b061088a9,s1,test_a01
7,7,t7-20221202-0757_jpg.rf.99e1f1a05644c75b0e3978e5d9450b14,s1,test_a01
5,6,t7-20221202-0827_jpg.rf.b6a352bd69271ab3289546bcc9585b37,s1,test_a01
6,6,t7-20221202-0857_jpg.rf.33a7aeaaea7ac7b6f2a375164f43fddb,s1,test_a01
6,6,t7-20221202-0927_jpg.rf.58d5636abaf66e0264a0278774e181b7,s1,test_a01
4,4,t7-20221202-0957_jpg.rf.9129a400fb448db5c7e5f5fdecc1c9e4,s1,test_a01
5,5,t7-20221202-1027_jpg.rf.f985a239ca206187c1bd5848da56256e,s1,test_a01
6,6,t7-20221202-1057_jpg.rf.ab7a8ae849b09640b97c413346d69383,s1,test_a01
2,2,t7-20221202-1127_jpg.rf.0931ae84c086daf026aaaeaad4f154da,s1,test_a01
6,7,t7-20221202-1157_jpg.rf.da17d296fdc28a5c49fab71aee4a07d8,s1,test_a01
