n_samples,split,strategy,n_obs,map_mean,map_std,f1_mean,f1_std,pre_mean,pre_std,rec_mean,rec_std
64,test_a01,baseline,163,88.2%,7.2%,87.6%,7.1%,88.7%,7.2%,86.7%,7.2%
64,test_a01,grid_search,163,83.2%,9.8%,81.8%,9.4%,82.0%,10.9%,82.2%,7.6%
64,test_a02,baseline,163,73.5%,8.5%,75.7%,8.0%,76.8%,9.0%,74.7%,7.9%
64,test_a02,grid_search,162,60.5%,12.6%,64.4%,11.1%,61.9%,13.4%,68.8%,9.3%
64,test_a03,baseline,162,73.8%,9.4%,73.9%,8.7%,79.1%,8.5%,69.5%,9.2%
64,test_a03,grid_search,162,63.6%,13.5%,67.1%,11.3%,68.0%,13.0%,66.9%,10.4%
64,test_b01,baseline,162,59.9%,10.2%,61.9%,9.0%,65.2%,10.4%,59.5%,9.2%
64,test_b01,grid_search,162,49.8%,15.9%,56.1%,13.2%,54.7%,15.1%,58.4%,12.1%
64,test_b02,baseline,162,62.7%,11.8%,63.6%,9.0%,64.1%,13.0%,64.4%,8.0%
64,test_b02,grid_search,161,58.5%,13.6%,60.6%,11.2%,59.0%,14.3%,64.4%,9.8%
64,test_b03,baseline,161,50.6%,14.6%,45.9%,14.6%,55.2%,25.8%,45.0%,12.3%
64,test_b03,grid_search,161,32.9%,18.3%,29.6%,16.6%,29.5%,22.0%,38.6%,17.2%
256,test_a01,baseline,161,93.4%,1.1%,92.0%,1.0%,92.3%,1.3%,91.8%,1.4%
256,test_a01,grid_search,161,91.0%,2.7%,88.5%,3.2%,88.6%,4.1%,88.5%,3.8%
256,test_a02,baseline,161,81.5%,3.9%,82.4%,3.0%,83.4%,3.8%,81.5%,3.4%
256,test_a02,grid_search,160,72.1%,6.4%,73.8%,4.7%,72.9%,8.1%,75.7%,6.2%
256,test_a03,baseline,160,82.3%,5.8%,81.1%,4.8%,84.4%,4.4%,78.1%,5.8%
256,test_a03,grid_search,160,78.6%,6.9%,79.6%,5.4%,80.5%,6.0%,78.8%,5.6%
256,test_b01,baseline,160,72.6%,7.8%,72.4%,6.6%,74.4%,6.9%,70.8%,7.1%
256,test_b01,grid_search,160,63.5%,13.1%,67.2%,10.1%,66.1%,12.3%,69.0%,8.9%
256,test_b02,baseline,160,71.4%,10.1%,70.8%,7.5%,71.4%,11.4%,71.2%,5.9%
256,test_b02,grid_search,160,67.5%,11.5%,67.9%,8.5%,66.9%,12.7%,70.6%,7.5%
256,test_b03,baseline,160,63.6%,11.2%,56.5%,12.2%,64.6%,21.9%,55.0%,11.6%
256,test_b03,grid_search,160,44.7%,15.0%,39.1%,12.9%,37.4%,17.5%,47.5%,14.6%
1024,test_a01,baseline,158,95.4%,1.0%,94.0%,1.1%,94.1%,1.2%,93.9%,1.3%
1024,test_a01,grid_search,157,93.6%,1.7%,90.6%,2.3%,90.6%,2.9%,90.6%,3.3%
1024,test_a02,baseline,157,84.9%,3.5%,85.3%,2.5%,85.8%,3.2%,84.8%,2.9%
1024,test_a02,grid_search,155,77.2%,6.2%,78.3%,4.9%,77.4%,8.0%,80.0%,5.2%
1024,test_a03,baseline,155,85.5%,6.3%,84.2%,5.3%,86.5%,4.5%,82.2%,6.2%
1024,test_a03,grid_search,155,82.6%,7.5%,83.0%,5.6%,84.3%,5.9%,81.8%,6.0%
1024,test_b01,baseline,155,80.2%,6.4%,78.9%,5.4%,79.7%,5.8%,78.2%,5.8%
1024,test_b01,grid_search,155,69.8%,11.8%,71.9%,8.9%,70.9%,10.3%,73.3%,8.3%
1024,test_b02,baseline,155,75.7%,7.3%,73.7%,6.2%,73.9%,9.9%,74.3%,5.3%
1024,test_b02,grid_search,154,73.3%,7.4%,71.7%,6.9%,70.8%,11.2%,73.9%,6.1%
1024,test_b03,baseline,154,72.2%,9.3%,65.3%,11.8%,74.5%,19.2%,61.4%,11.8%
1024,test_b03,grid_search,153,50.7%,14.7%,46.1%,13.6%,42.9%,17.9%,55.2%,13.9%
