model,n_samples,split,strategy,map_mean,map_std,f1_mean,f1_std,pre_mean,pre_std,rec_mean,rec_std
rtdetr-l,64,test_a01,baseline,0.888885,0.021404766,0.883393333,0.016413893,0.89315,0.018076415,0.874103333,0.021034838
rtdetr-l,64,test_a01,grid_search,0.844328333,0.040484863,0.828445,0.047808397,0.831583333,0.071378483,0.829755,0.041231905
rtdetr-l,64,test_a02,baseline,0.76746,0.061161277,0.788273333,0.050640347,0.801068333,0.066213244,0.778088333,0.048502396
rtdetr-l,64,test_a02,grid_search,0.632646667,0.107966993,0.669846667,0.085845988,0.629316667,0.129371465,0.735568333,0.053052291
rtdetr-l,64,test_a03,baseline,0.805091667,0.035097213,0.798165,0.029911303,0.839128333,0.029777884,0.761695,0.037316691
rtdetr-l,64,test_a03,grid_search,0.711198333,0.068439268,0.73194,0.051813702,0.741405,0.069000497,0.72656,0.055645982
rtdetr-l,64,test_b01,baseline,0.6642,0.065503665,0.67443,0.051945739,0.71705,0.076894668,0.642373333,0.059508723
rtdetr-l,64,test_b01,grid_search,0.577448333,0.133469898,0.620798333,0.104402868,0.609095,0.132462888,0.648056667,0.08614975
rtdetr-l,64,test_b02,baseline,0.642776667,0.114545844,0.644348333,0.076940989,0.647493333,0.132083529,0.659018333,0.060109199
rtdetr-l,64,test_b02,grid_search,0.631845,0.123711476,0.635026667,0.097354089,0.612076667,0.15165243,0.688706667,0.057794926
rtdetr-l,64,test_b03,baseline,0.552405,0.144165434,0.488063333,0.154426869,0.520348333,0.276152693,0.541493333,0.094970916
rtdetr-l,64,test_b03,grid_search,0.429341667,0.185133203,0.36369,0.187980738,0.362531667,0.25735184,0.496621667,0.167682302
rtdetr-l,256,test_a01,baseline,0.933803333,0.013741573,0.920318333,0.011215282,0.922726667,0.013795687,0.918106667,0.014918307
rtdetr-l,256,test_a01,grid_search,0.906248333,0.031086863,0.887503333,0.030219266,0.883973333,0.04249914,0.892226667,0.031836089
rtdetr-l,256,test_a02,baseline,0.824013333,0.033909783,0.835485,0.026553361,0.84417,0.033010621,0.827716667,0.0304284
rtdetr-l,256,test_a02,grid_search,0.694761667,0.075448867,0.725103333,0.052031112,0.692938333,0.096049602,0.775383333,0.066172402
rtdetr-l,256,test_a03,baseline,0.873366667,0.020205559,0.85279,0.019389773,0.874683333,0.029851276,0.832891667,0.026173452
rtdetr-l,256,test_a03,grid_search,0.820903333,0.041006663,0.81417,0.029780936,0.822793333,0.044822399,0.807641667,0.036932969
rtdetr-l,256,test_b01,baseline,0.792383333,0.032342375,0.783305,0.027025897,0.806951667,0.036733693,0.762313333,0.034447289
rtdetr-l,256,test_b01,grid_search,0.69098,0.097968127,0.713763333,0.070415585,0.70941,0.098342881,0.726988333,0.066244089
rtdetr-l,256,test_b02,baseline,0.738153333,0.114612295,0.728115,0.080996143,0.734578333,0.125335181,0.732921667,0.059141726
rtdetr-l,256,test_b02,grid_search,0.70159,0.133842328,0.696436667,0.094830925,0.678758333,0.150127545,0.739603333,0.071813284
rtdetr-l,256,test_b03,baseline,0.692518333,0.111669788,0.611728333,0.124922259,0.630948333,0.21368059,0.639515,0.087050073
rtdetr-l,256,test_b03,grid_search,0.554806667,0.108714867,0.46919,0.115976667,0.429723333,0.166049883,0.582858333,0.125798871
rtdetr-l,1024,test_a01,baseline,0.950686667,0.015567681,0.938068333,0.016159245,0.939006667,0.015523758,0.937233333,0.019534643
rtdetr-l,1024,test_a01,grid_search,0.93021,0.023338908,0.910851667,0.026839375,0.905771667,0.029660372,0.917085,0.037783109
rtdetr-l,1024,test_a02,baseline,0.851538333,0.036742503,0.858481667,0.024102131,0.868573333,0.029356314,0.849441667,0.031202109
rtdetr-l,1024,test_a02,grid_search,0.735736667,0.072630164,0.758706667,0.063308949,0.714193333,0.08791215,0.817811667,0.064742073
