model,n_samples,split,strategy,n_obs,map_mean,map_std,f1_mean,f1_std,pre_mean,pre_std,rec_mean,rec_std
rtdetr-l,64,test_a01,baseline,60,0.888885,0.021404766022420727,0.8833933333333334,0.0164138931093647,0.89315,0.01807641501130736,0.8741033333333333,0.021034837662321677
rtdetr-l,64,test_a01,grid_search,60,0.8443283333333333,0.0404848625892451,0.828445,0.047808397336997245,0.8315833333333333,0.07137848312416947,0.829755,0.041231904813824355
rtdetr-l,64,test_a02,baseline,60,0.76746,0.06116127666025181,0.7882733333333333,0.05064034656837342,0.8010683333333334,0.06621324433969916,0.7780883333333333,0.04850239585788318
rtdetr-l,64,test_a02,grid_search,60,0.6326466666666667,0.1079669934916029,0.6698466666666667,0.08584598836005165,0.6293166666666666,0.12937146512543085,0.7355683333333333,0.05305229109468769
rtdetr-l,64,test_a03,baseline,60,0.8050916666666666,0.03509721265511254,0.7981649999999999,0.029911302920014725,0.8391283333333334,0.02977788447749107,0.761695,0.03731669061298287
rtdetr-l,64,test_a03,grid_search,60,0.7111983333333334,0.06843926787309791,0.73194,0.05181370213383288,0.741405,0.06900049723475957,0.72656,0.05564598208347032
rtdetr-l,64,test_b01,baseline,60,0.6641999999999999,0.06550366531341222,0.67443,0.05194573863862045,0.7170500000000001,0.07689466821568318,0.6423733333333334,0.059508722809311555
rtdetr-l,64,test_b01,grid_search,60,0.5774483333333333,0.13346989820176194,0.6207983333333333,0.10440286782811314,0.6090949999999999,0.13246288821491584,0.6480566666666667,0.08614975012341988
rtdetr-l,64,test_b02,baseline,60,0.6427766666666667,0.11454584363382771,0.6443483333333333,0.07694098881537074,0.6474933333333334,0.13208352887044644,0.6590183333333334,0.06010919862955259
rtdetr-l,64,test_b02,grid_search,60,0.631845,0.12371147601015099,0.6350266666666666,0.09735408876297932,0.6120766666666667,0.1516524297409299,0.6887066666666667,0.05779492637009148
rtdetr-l,64,test_b03,baseline,60,0.552405,0.1441654339550838,0.48806333333333335,0.1544268692773452,0.5203483333333333,0.27615269265062775,0.5414933333333333,0.09497091591669787
rtdetr-l,64,test_b03,grid_search,60,0.4293416666666667,0.1851332028857451,0.36369,0.18798073801431564,0.36253166666666664,0.2573518395489122,0.4966216666666667,0.16768230159549213
rtdetr-l,256,test_a01,baseline,60,0.9338033333333333,0.013741573278129126,0.9203183333333332,0.011215281518892992,0.9227266666666666,0.013795686708221963,0.9181066666666666,0.01491830710924164
rtdetr-l,256,test_a01,grid_search,60,0.9062483333333333,0.0310868629492041,0.8875033333333333,0.030219266313019164,0.8839733333333334,0.042499140037826656,0.8922266666666666,0.03183608903385827
rtdetr-l,256,test_a02,baseline,60,0.8240133333333334,0.03390978293252659,0.835485,0.026553360571255697,0.84417,0.033010621300485515,0.8277166666666667,0.03042839979565625
rtdetr-l,256,test_a02,grid_search,60,0.6947616666666666,0.07544886716510181,0.7251033333333333,0.05203111183580512,0.6929383333333334,0.09604960246023074,0.7753833333333334,0.06617240237559908
rtdetr-l,256,test_a03,baseline,60,0.8733666666666667,0.02020555945200136,0.85279,0.019389772771633843,0.8746833333333334,0.029851276364084873,0.8328916666666667,0.02617345201526694
rtdetr-l,256,test_a03,grid_search,60,0.8209033333333333,0.041006663231461925,0.8141700000000001,0.02978093634343163,0.8227933333333334,0.044822398557299206,0.8076416666666667,0.036932968560172176
rtdetr-l,256,test_b01,baseline,60,0.7923833333333333,0.03234237482065205,0.783305,0.02702589734159893,0.8069516666666666,0.036733693449791785,0.7623133333333333,0.03444728946393941
rtdetr-l,256,test_b01,grid_search,60,0.6909799999999999,0.0979681266050774,0.7137633333333333,0.07041558467393244,0.70941,0.09834288114137413,0.7269883333333333,0.06624408919373367
rtdetr-l,256,test_b02,baseline,60,0.7381533333333333,0.11461229482168912,0.7281150000000001,0.08099614308666339,0.7345783333333333,0.12533518057074225,0.7329216666666666,0.05914172604758003
rtdetr-l,256,test_b02,grid_search,60,0.7015899999999999,0.13384232780351815,0.6964366666666667,0.09483092531173697,0.6787583333333332,0.15012754497388883,0.7396033333333333,0.07181328418413081
rtdetr-l,256,test_b03,baseline,60,0.6925183333333333,0.1116697878685138,0.6117283333333333,0.12492225933968323,0.6309483333333333,0.2136805904684322,0.639515,0.087050072917346
rtdetr-l,256,test_b03,grid_search,60,0.5548066666666667,0.10871486709592033,0.46919,0.11597666729102109,0.42972333333333335,0.1660498826079811,0.5828583333333334,0.12579887134260567
rtdetr-l,1024,test_a01,baseline,60,0.9506866666666667,0.015567681284153121,0.9380683333333334,0.01615924452490953,0.9390066666666667,0.015523758354416857,0.9372333333333334,0.01953464255846534
rtdetr-l,1024,test_a01,grid_search,60,0.9302100000000001,0.023338908373525032,0.9108516666666666,0.0268393746401336,0.9057716666666666,0.029660371848513466,0.917085,0.037783109063554775
rtdetr-l,1024,test_a02,baseline,60,0.8515383333333334,0.03674250340541832,0.8584816666666666,0.02410213079873953,0.8685733333333334,0.029356314059180575,0.8494416666666667,0.031202109292382544
rtdetr-l,1024,test_a02,grid_search,60,0.7357366666666666,0.07263016361448366,0.7587066666666666,0.06330894885914405,0.7141933333333333,0.08791214965234996,0.8178116666666667,0.06474207259021629
rtdetr-l,1024,test_a03,baseline,60,0.8927583333333333,0.02780841411300231,0.875415,0.02540009892547131,0.8907183333333334,0.02487055635578599,0.8612066666666667,0.03376527584823417
rtdetr-l,1024,test_a03,grid_search,60,0.8467716666666667,0.054661612631537244,0.8412583333333334,0.043663254114724465,0.8561733333333333,0.05060315816052599,0.8284083333333334,0.04893089659144758
rtdetr-l,1024,test_b01,baseline,60,0.8409633333333333,0.05348789809796091,0.8246766666666667,0.050090938883116255,0.8356049999999999,0.04884899050012554,0.81519,0.05882438875045288
rtdetr-l,1024,test_b01,grid_search,60,0.7623766666666667,0.1004322224723443,0.764305,0.07292022672826584,0.7594550000000001,0.08782572578788912,0.7726799999999999,0.06925224538977368
