split,model,n_samples,is_normal,is_equal_var,is_significant
test_a01,yolo11n,64,false,N/A,***
test_a01,yolo11n,256,false,N/A,***
test_a01,yolo11n,1024,false,N/A,***
test_a01,yolo11m,64,false,N/A,***
test_a01,yolo11m,256,false,N/A,***
test_a01,yolo11m,1024,false,N/A,***
test_a01,rtdetr-l,64,false,N/A,***
test_a01,rtdetr-l,256,false,N/A,***
test_a01,rtdetr-l,1024,false,N/A,***
test_a02,yolo11n,64,false,N/A,***
test_a02,yolo11n,256,true,true,***
test_a02,yolo11n,1024,true,true,***
test_a02,yolo11m,64,false,N/A,***
test_a02,yolo11m,256,true,false,***
test_a02,yolo11m,1024,true,false,***
test_a02,rtdetr-l,64,false,N/A,***
test_a02,rtdetr-l,256,true,false,***
test_a02,rtdetr-l,1024,false,N/A,***
test_a03,yolo11n,64,false,N/A,***
test_a03,yolo11n,256,false,N/A,***
test_a03,yolo11n,1024,true,true,***
test_a03,yolo11m,64,false,N/A,***
test_a03,yolo11m,256,false,N/A,ns
test_a03,yolo11m,1024,false,N/A,ns
test_a03,rtdetr-l,64,false,N/A,***
test_a03,rtdetr-l,256,false,N/A,***
test_a03,rtdetr-l,1024,false,N/A,***
test_b01,yolo11n,64,false,N/A,***
test_b01,yolo11n,256,false,N/A,***
test_b01,yolo11n,1024,true,false,***
test_b01,yolo11m,64,false,N/A,**
test_b01,yolo11m,256,false,N/A,*
test_b01,yolo11m,1024,false,N/A,***
test_b01,rtdetr-l,64,false,N/A,***
test_b01,rtdetr-l,256,false,N/A,***
test_b01,rtdetr-l,1024,false,N/A,***
test_b02,yolo11n,64,false,N/A,**
test_b02,yolo11n,256,false,N/A,**
test_b02,yolo11n,1024,false,N/A,*
test_b02,yolo11m,64,false,N/A,ns
test_b02,yolo11m,256,true,true,ns
test_b02,yolo11m,1024,true,true,ns
test_b02,rtdetr-l,64,false,N/A,ns
test_b02,rtdetr-l,256,false,N/A,ns
test_b02,rtdetr-l,1024,false,N/A,**
test_b03,yolo11n,64,false,N/A,***
test_b03,yolo11n,256,false,N/A,***
test_b03,yolo11n,1024,true,false,***
test_b03,yolo11m,64,true,true,***
test_b03,yolo11m,256,false,N/A,***
test_b03,yolo11m,1024,false,N/A,***
test_b03,rtdetr-l,64,false,N/A,***
test_b03,rtdetr-l,256,false,N/A,***
test_b03,rtdetr-l,1024,false,N/A,***
