filename,pre,trt,date,time,obs
t1-A1_1.JPEG,1560,virus,2023-02-28,05:00,1063.0
t1-A1_10.JPEG,671,virus,2023-03-09,05:00,386.0
t1-A1_11.JPEG,1628,virus,2023-03-10,17:00,1163.0
t1-A1_12.JPEG,1640,virus,2023-03-11,05:00,1188.0
t1-A1_13.JPEG,1653,virus,2023-03-12,17:00,1176.0
t1-A1_14.JPEG,1453,virus,2023-03-13,05:00,956.0
t1-A1_15.JPEG,1912,virus,2023-03-14,17:00,1370.0
t1-A1_16.JPEG,1667,virus,2023-03-15,05:00,1273.0
t1-A1_17.JPEG,2044,virus,2023-03-16,17:00,1523.0
t1-A1_18.JPEG,2090,virus,2023-03-17,05:00,1686.0
t1-A1_19.JPEG,1435,virus,2023-03-18,17:00,1156.0
t1-A1_20.JPEG,1401,virus,2023-03-19,05:00,964.0
t1-A1_21.JPEG,2234,virus,2023-03-20,17:00,1697.0
t1-A1_23.JPEG,1644,virus,2023-03-22,17:00,1098.0
t1-A1_24.JPEG,1797,virus,2023-03-23,05:00,1339.0
t1-A1_25.JPEG,2351,virus,2023-03-24,17:00,1841.0
t1-A1_26.JPEG,1664,virus,2023-03-25,05:00,1212.0
t1-A1_27.JPEG,1806,virus,2023-03-26,17:00,1352.0
t1-A1_28.JPEG,1528,virus,2023-03-27,05:00,1137.0
t1-A1_29.JPEG,1765,virus,2023-03-28,17:00,1389.0
t1-A1_3.JPEG,1616,virus,2023-03-02,17:00,1157.0
t1-A1_30.JPEG,1661,virus,2023-03-29,05:00,1136.0
t1-A1_31.JPEG,1959,virus,2023-03-30,17:00,1463.0
t1-A1_5.JPEG,1637,virus,2023-03-04,05:00,1186.0
t1-A1_7.JPEG,877,virus,2023-03-06,17:00,967.0
t1-A1_8.JPEG,717,virus,2023-03-07,05:00,399.0
t1-A1_9.JPEG,1820,virus,2023-03-08,17:00,1342.0
t2-A2_1.JPEG,1171,control,2023-02-28,05:00,654.0
t2-A2_10.JPEG,437,control,2023-03-09,05:00,239.0
t2-A2_11.JPEG,1139,control,2023-03-10,17:00,764.0
t2-A2_12.JPEG,1327,control,2023-03-11,05:00,840.0
t2-A2_13.JPEG,1984,control,2023-03-12,17:00,1350.0
t2-A2_14.JPEG,1053,control,2023-03-13,05:00,686.0
t2-A2_15.JPEG,1357,control,2023-03-14,17:00,878.0
t2-A2_16.JPEG,1230,control,2023-03-15,05:00,811.0
t2-A2_17.JPEG,1525,control,2023-03-16,17:00,988.0
t2-A2_18.JPEG,1391,control,2023-03-17,05:00,1030.0
t2-A2_19.JPEG,1246,control,2023-03-18,17:00,970.0
t2-A2_20.JPEG,761,control,2023-03-19,05:00,471.0
t2-A2_21.JPEG,1547,control,2023-03-20,17:00,1084.0
t2-A2_23.JPEG,1202,control,2023-03-22,17:00,1087.0
t2-A2_24.JPEG,855,control,2023-03-23,05:00,541.0
t2-A2_25.JPEG,1506,control,2023-03-24,17:00,1105.0
t2-A2_26.JPEG,906,control,2023-03-25,05:00,634.0
t2-A2_27.JPEG,1074,control,2023-03-26,17:00,691.0
t2-A2_28.JPEG,1091,control,2023-03-27,05:00,748.0
t2-A2_29.JPEG,1318,control,2023-03-28,17:00,958.0
t2-A2_3.JPEG,1233,control,2023-03-02,17:00,676.0
t2-A2_30.JPEG,1147,control,2023-03-29,05:00,785.0
t2-A2_31.JPEG,1312,control,2023-03-30,17:00,988.0
t2-A2_5.JPEG,859,control,2023-03-04,05:00,516.0
t2-A2_7.JPEG,429,control,2023-03-06,17:00,216.0
t2-A2_8.JPEG,553,control,2023-03-07,05:00,321.0
t2-A2_9.JPEG,1268,control,2023-03-08,17:00,906.0
