model,cat,strategy,mean,std,mean,std,mean,std,mean,std,mean,std
,,,map50,map50,f1,f1,precision,precision,recall,recall,time_inference,time_inference
yolo11n,A_unfinetuned,bo_exploitation,68.68%,8.58%,69.04%,8.33%,77.75%,6.50%,62.26%,9.31%,44.53789474,19.37670598
yolo11n,A_unfinetuned,bo_exploration,70.83%,7.24%,71.23%,7.29%,79.29%,4.77%,64.90%,8.65%,54.7077193,20.18893235
yolo11n,A_unfinetuned,grid_search,74.72%,3.49%,75.38%,2.09%,81.74%,2.70%,69.97%,2.05%,73.9845614,3.410494345
yolo11n,B_finetuned_unsupervised,bo_exploitation,72.54%,6.72%,71.25%,7.40%,82.36%,3.29%,63.26%,9.50%,41.46732143,18.76026773
yolo11n,B_finetuned_unsupervised,bo_exploration,75.04%,5.44%,73.92%,5.82%,83.13%,2.68%,66.83%,7.49%,52.50482143,17.309728
yolo11n,B_finetuned_unsupervised,grid_search,78.38%,1.88%,77.43%,1.21%,84.32%,1.23%,71.58%,1.25%,67.31142857,2.973235415
yolo11n,C_finetuned_supervised,bo_exploitation,75.20%,5.92%,73.71%,6.34%,83.70%,2.85%,66.23%,8.31%,29.78921569,9.225144301
yolo11n,C_finetuned_supervised,bo_exploration,76.46%,5.62%,75.00%,5.67%,83.95%,3.13%,68.03%,7.25%,28.65538462,11.80221672
yolo11n,C_finetuned_supervised,grid_search,80.96%,1.50%,79.24%,1.10%,85.65%,1.32%,73.72%,1.00%,27.27058824,1.209223572
yolo11m,A_unfinetuned,bo_exploitation,64.72%,6.68%,67.13%,5.93%,74.17%,5.01%,61.42%,6.66%,45.51781818,22.37586884
yolo11m,A_unfinetuned,bo_exploration,65.19%,6.59%,67.80%,5.56%,74.39%,4.74%,62.39%,6.29%,55.58508772,19.52762239
yolo11m,A_unfinetuned,grid_search,67.95%,4.88%,70.86%,2.94%,76.60%,3.68%,65.96%,2.67%,76.016,3.683891662
yolo11m,B_finetuned_unsupervised,bo_exploitation,68.37%,5.49%,69.70%,5.68%,78.16%,2.30%,63.17%,7.57%,41.77137931,20.50165748
yolo11m,B_finetuned_unsupervised,bo_exploration,68.52%,5.22%,69.94%,5.39%,78.07%,2.71%,63.57%,6.98%,45.78457627,19.50002381
yolo11m,B_finetuned_unsupervised,grid_search,71.77%,1.11%,73.25%,0.72%,79.84%,0.89%,67.67%,0.66%,69.29672414,1.15009746
yolo11m,C_finetuned_supervised,bo_exploitation,69.16%,5.18%,70.23%,5.52%,78.26%,2.01%,64.01%,7.55%,30.50641509,10.56422593
yolo11m,C_finetuned_supervised,bo_exploration,69.53%,5.14%,70.71%,5.11%,78.08%,2.34%,64.84%,6.77%,30.70611111,10.39657771
yolo11m,C_finetuned_supervised,grid_search,73.65%,1.08%,74.44%,0.71%,80.39%,0.85%,69.31%,0.70%,28.43660377,1.622782444
rtdetr-l,A_unfinetuned,bo_exploitation,58.70%,8.05%,62.96%,8.28%,71.26%,6.33%,56.62%,9.29%,63.09345455,33.88053698
rtdetr-l,A_unfinetuned,bo_exploration,60.11%,7.95%,64.65%,7.83%,72.00%,6.59%,58.79%,8.50%,70.37272727,34.59818275
rtdetr-l,A_unfinetuned,grid_search,64.34%,3.87%,69.47%,2.46%,75.42%,3.10%,64.40%,2.10%,112.4069091,2.307491722
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,61.16%,10.07%,64.52%,9.45%,72.83%,8.07%,58.23%,10.37%,56.49596491,33.69045948
rtdetr-l,B_finetuned_unsupervised,bo_exploration,63.11%,9.33%,66.70%,8.19%,74.51%,7.24%,60.53%,8.76%,73.4845614,33.70884157
rtdetr-l,B_finetuned_unsupervised,grid_search,66.65%,6.39%,70.87%,4.14%,77.10%,4.72%,65.58%,3.78%,111.8292982,3.098678209
rtdetr-l,C_finetuned_supervised,bo_exploitation,61.54%,9.73%,64.69%,9.07%,73.12%,7.70%,58.27%,9.92%,47.28622642,21.45011827
rtdetr-l,C_finetuned_supervised,bo_exploration,63.75%,8.08%,67.16%,6.81%,74.50%,6.39%,61.27%,7.26%,45.42127273,16.64707338
rtdetr-l,C_finetuned_supervised,grid_search,67.03%,6.49%,70.50%,4.20%,77.14%,4.86%,64.93%,3.78%,54.06735849,23.22224333
