divider,overlap,grid_freq,explore_freq,exploit_freq,exp_map,exp_time
4,0,100.0%,41.7%,30.0%,81.8%,26.6
3,0,0.0%,25.0%,30.0%,74.8%,24.5
3,0.25,0.0%,12.5%,20.0%,75.5%,30.2
3,0.5,0.0%,8.3%,4.0%,75.2%,47.6
2,0.25,0.0%,4.2%,4.0%,60.4%,28.4
4,0.5,0.0%,4.2%,4.0%,79.3%,66.3
1,0.25,0.0%,4.2%,0.0%,4.7%,5.1
2,0,0.0%,0.0%,4.0%,57.1%,17.3
4,0.25,0.0%,0.0%,4.0%,77.5%,40.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
