overlap_cat,divider_cat,n_obs,n_obs,n_obs,score_mean,score_mean,score_mean,score_std,score_std,score_std
,,bo_exploitation,bo_exploration,grid_search,bo_exploitation,bo_exploration,grid_search,bo_exploitation,bo_exploration,grid_search
0.0,2,2.0,,,0.5909500000000001,,,0.03471894295625946,,
0.0,3,15.0,12.0,,0.7445400000000001,0.7424,,0.011422083872919115,0.012955869150873106,
0.0,4,15.0,20.0,51.0,0.8050866666666666,0.807995,0.8095843137254902,0.018019151187661703,0.01649591576245786,0.014963533974954193
0.25,1,,2.0,,,0.0467,,,0.0007071067811865482,
0.25,2,2.0,2.0,,0.6033999999999999,0.6034999999999999,,0.00014142135623733317,0.0002828427124746271,
0.25,3,10.0,6.0,,0.74739,0.7455333333333334,,0.015743319570888193,0.01919850688638746,
0.25,4,2.0,,,0.77485,,,0.0003535533905933526,,
0.5,3,2.0,4.0,,0.75225,0.7475499999999999,,7.071067811864696e-05,0.010234744745229387,
0.5,4,2.0,2.0,,0.79385,0.79375,,0.00021213203435605866,7.071067811864696e-05,
