model,strategy,cat,n_obs,map50_mean,map50_std,pre_mean,pre_std,rec_mean,rec_std,f1_mean,f1_std,time_hptuning_mean,time_hptuning_std,time_inference_mean,time_inference_std
rtdetr-l,baseline,A_unfinetuned,50,0.00123,0.001077459,0.00254,0.002139235,0.000242,0.000223232,0.000452,0.000391877,0,0,4.5336,0.278646583
yolo11n,bo_exploitation,A_unfinetuned,47,63.4%,20.6%,71.7%,21.9%,57.5%,19.6%,63.7%,20.9%,356.0%,131.7%,4596.4%,1999.7%
yolo11n,bo_exploitation,B_finetuned_unsupervised,47,65.2%,22.3%,74.6%,23.3%,56.3%,21.6%,63.6%,23.0%,324.2%,113.5%,4048.8%,1920.0%
yolo11n,bo_exploitation,C_finetuned_supervised,42,75.0%,6.0%,83.6%,3.1%,66.0%,8.1%,73.6%,6.3%,1032.5%,537.2%,2999.2%,949.4%
rtdetr-l,baseline,B_finetuned_unsupervised,50,0.002602,0.003570542,0.005248,0.007089954,0.00057,0.001004124,0.001014,0.001745199,0,0,4.5054,0.548419659
yolo11n,bo_exploration,A_unfinetuned,47,69.6%,12.1%,77.9%,11.5%,63.9%,12.5%,70.0%,12.4%,381.0%,122.4%,5657.1%,2095.8%
yolo11n,bo_exploration,B_finetuned_unsupervised,47,71.6%,15.8%,79.7%,16.3%,63.4%,15.5%,70.4%,16.0%,350.8%,122.0%,5058.6%,1736.1%
yolo11n,bo_exploration,C_finetuned_supervised,43,71.3%,19.4%,78.6%,19.5%,63.2%,18.9%,69.7%,19.9%,996.2%,523.0%,2948.2%,1243.7%
yolo11n,grid_search,A_unfinetuned,47,74.6%,3.4%,81.7%,2.7%,69.9%,2.0%,75.3%,2.0%,421.1%,67.5%,7402.4%,326.6%
yolo11n,grid_search,B_finetuned_unsupervised,47,78.5%,1.8%,84.4%,1.1%,71.7%,1.2%,77.5%,1.1%,378.6%,53.6%,6709.0%,283.9%
yolo11n,grid_search,C_finetuned_supervised,42,81.1%,1.4%,85.8%,1.3%,73.8%,1.0%,79.3%,1.0%,1306.9%,591.6%,2720.3%,117.9%
yolo11m,baseline,A_unfinetuned,50,0.000434,0.000432652,0.000914,0.000848049,5.80E-05,9.71E-05,0.000114,0.000165381,0,0,3.625,0.367280408
yolo11m,bo_exploitation,A_unfinetuned,45,59.9%,19.1%,68.6%,20.8%,56.6%,18.6%,61.8%,19.8%,344.0%,122.8%,4651.8%,2092.6%
yolo11m,bo_exploitation,B_finetuned_unsupervised,49,59.0%,23.8%,67.7%,26.0%,54.3%,23.1%,60.0%,24.7%,324.6%,116.9%,4046.7%,2081.6%
yolo11m,bo_exploitation,C_finetuned_supervised,45,65.7%,14.7%,74.8%,15.4%,60.5%,15.2%,66.6%,15.3%,1045.5%,488.7%,3041.7%,1137.4%
yolo11m,baseline,B_finetuned_unsupervised,50,0.000458,0.000124687,0.000918,0.000243017,0,0,9.00E-05,3.03E-05,0,0,3.3972,0.181884018
yolo11m,bo_exploration,A_unfinetuned,47,64.5%,11.4%,73.2%,11.4%,61.5%,11.0%,66.8%,11.3%,383.3%,133.9%,5627.6%,1920.8%
yolo11m,bo_exploration,B_finetuned_unsupervised,50,63.0%,18.7%,72.1%,20.1%,58.3%,18.4%,64.2%,19.5%,362.7%,105.2%,4648.9%,1881.4%
