model,n_params,is_finetune,thread,iters,time_per_epoch,max_mem,metric,strategy,time_hptuning,time_inference,divider,overlap,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,cat
yolo11n,2.6,1_NOFT,5,1,4.63,6904.097,baseline,baseline,0.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81966,81966,1697,A_unfinetuned
yolo11n,2.6,1_NOFT,5,1,4.63,6904.097,count,bo_exploration,4.57,73.69,4.0,0.62,0.4484,0.777,0.8231,0.7243,0.7706,81966,22595,12763,A_unfinetuned
yolo11n,2.6,1_NOFT,5,1,4.63,6904.097,count,bo_exploitation,2.62,35.69,2.0,0.53,0.2534,0.5692,0.7,0.469,0.5617,81966,43524,16476,A_unfinetuned
yolo11n,2.6,1_NOFT,5,1,4.63,6904.097,count,grid_search,4.47,73.31,4.0,0.5,0.4484,0.777,0.8231,0.7243,0.7706,81966,22595,12763,A_unfinetuned
yolo11n,2.6,2_FT,5,1,3.237,8293.878,baseline,baseline,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81966,81966,697,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,1,3.237,8293.878,count,bo_exploration,2.62,30.0,3.0,0.34,0.4084,0.755,0.8584,0.657,0.7443,81966,28112,8883,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,1,3.237,8293.878,count,bo_exploitation,2.89,32.39,2.0,0.62,0.2743,0.6046,0.7927,0.4492,0.5734,81966,45147,9630,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,1,3.237,8293.878,count,grid_search,4.38,66.3,4.0,0.5,0.4459,0.7933,0.8502,0.7214,0.7805,81966,22836,10422,B_finetuned_unsupervised
yolo11n,2.6,2_FT,5,1,3.237,8293.878,map,bo_exploration,9.69,26.61,4.0,-0.12,0.4864,0.8175,0.8643,0.7421,0.7986,81966,21140,9546,C_finetuned_supervised
yolo11n,2.6,2_FT,5,1,3.237,8293.878,map,bo_exploitation,11.57,29.64,3.0,0.29,0.4084,0.755,0.8584,0.657,0.7443,81966,28112,8883,C_finetuned_supervised
yolo11n,2.6,2_FT,5,1,3.237,8293.878,map,grid_search,14.08,26.56,4.0,0.0,0.4864,0.8175,0.8643,0.7421,0.7986,81966,21140,9546,C_finetuned_supervised
yolo11m,20.1,1_NOFT,5,1,11.585,22598.505,baseline,baseline,0.0,3.35,0.0,0.0,0.0001,0.0003,0.0005,0.0,0.0,81966,81964,3951,A_unfinetuned
yolo11m,20.1,2_FT,5,1,9.051,18860.711,baseline,baseline,0.0,3.37,0.0,0.0,0.0001,0.0005,0.001,0.0,0.0001,81966,81962,4018,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,1,9.051,18860.711,count,bo_exploration,3.41,50.53,3.0,0.41,0.3934,0.6949,0.7832,0.6536,0.7126,81966,28391,14831,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,1,9.051,18860.711,count,bo_exploitation,7.17,50.61,3.0,0.62,0.3934,0.6949,0.7832,0.6536,0.7126,81966,28391,14831,B_finetuned_unsupervised
yolo11m,20.1,2_FT,5,1,9.051,18860.711,count,grid_search,4.34,68.4,4.0,0.5,0.4077,0.7156,0.7976,0.6744,0.7308,81966,26691,14029,B_finetuned_unsupervised
