model,cat,strategy,divider,overlap,met,score
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0009
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.49,map50,0.6954
yolo11n,B_finetuned_unsupervised,bo_exploitation,1.0,0.28,map50,0.0207
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7283
yolo11n,C_finetuned_supervised,bo_exploration,2.0,0.13,map50,0.5249
yolo11n,C_finetuned_supervised,bo_exploitation,2.0,0.0,map50,0.5457
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7475
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0003
yolo11m,A_unfinetuned,bo_exploration,3.0,0.46,map50,0.6581
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.1,map50,0.6632
yolo11m,A_unfinetuned,grid_search,4.0,0.5,map50,0.6693
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0003
yolo11m,B_finetuned_unsupervised,bo_exploration,3.0,0.32,map50,0.738
yolo11m,B_finetuned_unsupervised,bo_exploitation,2.0,0.43,map50,0.6018
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7505
yolo11m,C_finetuned_supervised,bo_exploration,4.0,0.0,map50,0.766
yolo11m,C_finetuned_supervised,bo_exploitation,2.0,0.0,map50,0.6241
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.766
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0
yolo11n,A_unfinetuned,bo_exploration,3.0,0.43,map50,0.6956
yolo11n,A_unfinetuned,bo_exploitation,2.0,0.29,map50,0.4208
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.7903
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0007
yolo11n,B_finetuned_unsupervised,bo_exploration,2.0,0.18,map50,0.5565
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,0.45,map50,0.7272
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7588
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.12,map50,0.7297
yolo11n,C_finetuned_supervised,bo_exploitation,4.0,0.45,map50,0.7607
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7783
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0003
yolo11m,A_unfinetuned,bo_exploration,2.0,0.28,map50,0.5194
yolo11m,A_unfinetuned,bo_exploitation,2.0,0.37,map50,0.5126
yolo11m,A_unfinetuned,grid_search,4.0,0.5,map50,0.6549
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0006
yolo11m,B_finetuned_unsupervised,bo_exploration,3.0,0.35,map50,0.7429
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.45,map50,0.7422
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7527
yolo11m,C_finetuned_supervised,bo_exploration,3.0,0.15,map50,0.7442
yolo11m,C_finetuned_supervised,bo_exploitation,3.0,0.25,map50,0.7407
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7687
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0002
yolo11n,A_unfinetuned,bo_exploration,3.0,0.5,map50,0.6624
yolo11n,A_unfinetuned,bo_exploitation,2.0,0.38,map50,0.4912
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.6926
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0001
yolo11n,B_finetuned_unsupervised,bo_exploration,2.0,0.29,map50,0.5132
yolo11n,B_finetuned_unsupervised,bo_exploitation,2.0,0.01,map50,0.5258
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7296
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.18,map50,0.6992
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.12,map50,0.6992
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7498
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0006
yolo11m,A_unfinetuned,bo_exploration,3.0,0.15,map50,0.6702
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.41,map50,0.6642
yolo11m,A_unfinetuned,grid_search,4.0,0.5,map50,0.6841
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0004
yolo11m,B_finetuned_unsupervised,bo_exploration,3.0,0.49,map50,0.7422
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.45,map50,0.7433
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7541
yolo11m,C_finetuned_supervised,bo_exploration,3.0,0.29,map50,0.7437
yolo11m,C_finetuned_supervised,bo_exploitation,3.0,0.47,map50,0.7421
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.77
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0016
yolo11n,A_unfinetuned,bo_exploration,3.0,0.5,map50,0.7227
yolo11n,A_unfinetuned,bo_exploitation,2.0,0.07,map50,0.5581
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.7489
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0002
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.22,map50,0.6931
yolo11n,B_finetuned_unsupervised,bo_exploitation,2.0,0.17,map50,0.4962
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7232
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.23,map50,0.6926
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.0,map50,0.6901
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7409
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0002
yolo11m,A_unfinetuned,bo_exploration,3.0,0.45,map50,0.6276
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.17,map50,0.6301
yolo11m,A_unfinetuned,grid_search,4.0,0.5,map50,0.6503
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0006
yolo11m,B_finetuned_unsupervised,bo_exploration,2.0,0.29,map50,0.6194
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.22,map50,0.7407
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7529
yolo11m,C_finetuned_supervised,bo_exploration,3.0,0.1,map50,0.7442
yolo11m,C_finetuned_supervised,bo_exploitation,3.0,0.1,map50,0.7442
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7686
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0007
yolo11n,A_unfinetuned,bo_exploration,3.0,0.44,map50,0.7416
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.35,map50,0.742
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.7727
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0002
yolo11n,B_finetuned_unsupervised,bo_exploration,2.0,0.45,map50,0.5166
yolo11n,B_finetuned_unsupervised,bo_exploitation,4.0,0.05,map50,0.7274
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7244
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.3,map50,0.6937
yolo11n,C_finetuned_supervised,bo_exploitation,2.0,0.0,map50,0.5308
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7423
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0004
yolo11m,A_unfinetuned,bo_exploration,3.0,0.2,map50,0.6837
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.12,map50,0.6858
yolo11m,A_unfinetuned,grid_search,4.0,0.5,map50,0.6983
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0
yolo11m,B_finetuned_unsupervised,bo_exploration,3.0,0.49,map50,0.7982
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.2,map50,0.7989
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.8223
yolo11m,C_finetuned_supervised,bo_exploration,3.0,0.36,map50,0.7955
yolo11m,C_finetuned_supervised,bo_exploitation,3.0,0.05,map50,0.8023
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.8382
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0003
yolo11n,A_unfinetuned,bo_exploration,2.0,0.26,map50,0.5506
yolo11n,A_unfinetuned,bo_exploitation,2.0,0.19,map50,0.5566
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.782
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0004
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.27,map50,0.7018
yolo11n,B_finetuned_unsupervised,bo_exploitation,4.0,0.48,map50,0.7357
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7415
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.26,map50,0.7021
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.4,map50,0.7103
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7671
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0003
