model,cat,strategy,divider,overlap,met,score
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,4.53
yolo11n,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,73.69
yolo11n,A_unfinetuned,bo_exploitation,2.0,0.53,time_inference,35.69
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,73.31
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,2.89
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.34,time_inference,30.0
yolo11n,B_finetuned_unsupervised,bo_exploitation,2.0,0.62,time_inference,32.39
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,66.3
yolo11n,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,26.61
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.29,time_inference,29.64
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,26.56
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.35
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.37
yolo11m,B_finetuned_unsupervised,bo_exploration,3.0,0.41,time_inference,50.53
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.62,time_inference,50.61
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,68.4
yolo11m,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,27.92
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,3.04
yolo11n,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,66.91
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.48,time_inference,49.1
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,66.94
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,2.84
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.62,time_inference,47.64
yolo11n,B_finetuned_unsupervised,bo_exploitation,1.0,0.54,time_inference,4.96
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,66.18
yolo11n,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,26.8
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.23,time_inference,29.82
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,26.71
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.3
yolo11m,A_unfinetuned,bo_exploration,4.0,0.33,time_inference,40.78
yolo11m,A_unfinetuned,bo_exploitation,2.0,0.55,time_inference,36.73
yolo11m,A_unfinetuned,grid_search,4.0,0.5,time_inference,73.45
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.33
yolo11m,B_finetuned_unsupervised,bo_exploration,3.0,0.5,time_inference,51.07
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.57,time_inference,50.99
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,69.29
yolo11m,C_finetuned_supervised,bo_exploration,3.0,-0.12,time_inference,26.27
yolo11m,C_finetuned_supervised,bo_exploitation,3.0,0.06,time_inference,26.31
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,28.04
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,3.48
yolo11n,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,74.89
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.22,time_inference,33.9
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,74.84
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,2.77
yolo11n,B_finetuned_unsupervised,bo_exploration,4.0,0.62,time_inference,65.44
yolo11n,B_finetuned_unsupervised,bo_exploitation,2.0,0.61,time_inference,32.2
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,65.43
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,4.11
yolo11m,A_unfinetuned,bo_exploration,4.0,0.09,time_inference,30.21
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.4,time_inference,54.18
yolo11m,A_unfinetuned,grid_search,4.0,0.5,time_inference,74.23
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.12
yolo11m,B_finetuned_unsupervised,bo_exploration,3.0,0.62,time_inference,50.94
yolo11m,B_finetuned_unsupervised,bo_exploitation,4.0,0.39,time_inference,68.96
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,69.6
yolo11m,C_finetuned_supervised,bo_exploration,1.0,0.08,time_inference,5.82
yolo11m,C_finetuned_supervised,bo_exploitation,2.0,0.23,time_inference,29.71
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,28.0
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,time_inference,4.82
rtdetr-l,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,111.83
rtdetr-l,A_unfinetuned,bo_exploitation,4.0,0.52,time_inference,112.22
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,time_inference,112.33
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,5.04
rtdetr-l,B_finetuned_unsupervised,bo_exploration,4.0,0.3,time_inference,59.93
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,2.0,0.42,time_inference,43.58
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,110.75
rtdetr-l,C_finetuned_supervised,bo_exploration,4.0,0.0,time_inference,43.1
