model,cat,strategy,map50,f1,precision,recall,time_inference
rtdetr-l,A_unfinetuned,bo_exploitation,0.58702,0.62964,0.712644,0.56624,63.09345455
rtdetr-l,A_unfinetuned,bo_exploration,0.601119608,0.646462745,0.719982353,0.587931373,70.37272727
rtdetr-l,A_unfinetuned,grid_search,0.643383636,0.694663636,0.754152727,0.644003636,112.4069091
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,0.611554902,0.645239216,0.728252941,0.582329412,56.49596491
rtdetr-l,B_finetuned_unsupervised,bo_exploration,0.631144444,0.666994444,0.745137037,0.605344444,73.4845614
rtdetr-l,B_finetuned_unsupervised,grid_search,0.666501754,0.708684211,0.771035088,0.655801754,111.8292982
rtdetr-l,C_finetuned_supervised,bo_exploitation,0.615370588,0.646903922,0.73122549,0.582713725,47.28622642
rtdetr-l,C_finetuned_supervised,bo_exploration,0.637496296,0.67155,0.745048148,0.61272963,45.42127273
rtdetr-l,C_finetuned_supervised,grid_search,0.670318868,0.704990566,0.771377358,0.649264151,54.06735849
yolo11m,A_unfinetuned,bo_exploitation,0.6472,0.671295833,0.74175,0.614239583,45.51781818
yolo11m,A_unfinetuned,bo_exploration,0.651923214,0.678,0.743935714,0.623853571,55.58508772
yolo11m,A_unfinetuned,grid_search,0.679547273,0.70864,0.765969091,0.659589091,76.016
yolo11m,B_finetuned_unsupervised,bo_exploitation,0.683731373,0.69695098,0.781645098,0.631721569,41.77137931
yolo11m,B_finetuned_unsupervised,bo_exploration,0.685194444,0.699357407,0.780651852,0.635651852,45.78457627
yolo11m,B_finetuned_unsupervised,grid_search,0.717731034,0.73252069,0.798374138,0.676712069,69.29672414
yolo11m,C_finetuned_supervised,bo_exploitation,0.691554902,0.702296078,0.782633333,0.640060784,30.50641509
yolo11m,C_finetuned_supervised,bo_exploration,0.695296226,0.707092453,0.78079434,0.648362264,30.70611111
yolo11m,C_finetuned_supervised,grid_search,0.736509434,0.744392453,0.80390566,0.693116981,28.43660377
yolo11n,A_unfinetuned,bo_exploitation,0.686816981,0.690371698,0.777464151,0.622583019,44.53789474
yolo11n,A_unfinetuned,bo_exploration,0.708269643,0.712269643,0.792948214,0.648980357,54.7077193
yolo11n,A_unfinetuned,grid_search,0.74717193,0.753821053,0.817414035,0.699668421,73.9845614
yolo11n,B_finetuned_unsupervised,bo_exploitation,0.72535098,0.712482353,0.823603922,0.632629412,41.46732143
yolo11n,B_finetuned_unsupervised,bo_exploration,0.750435185,0.73922037,0.831296296,0.668333333,52.50482143
yolo11n,B_finetuned_unsupervised,grid_search,0.7838125,0.774266071,0.843196429,0.7158,67.31142857
yolo11n,C_finetuned_supervised,bo_exploitation,0.752035294,0.737101961,0.836988235,0.662331373,29.78921569
yolo11n,C_finetuned_supervised,bo_exploration,0.764552083,0.75004375,0.839472917,0.680310417,28.65538462
yolo11n,C_finetuned_supervised,grid_search,0.809584314,0.792358824,0.856511765,0.737178431,27.27058824
