model,metric,strategy,time_hptuning_mean,time_hptuning_std,time_hptuning_count
rtdetr-l,count,bo_exploitation,4.7404464285714285,1.991305601133148,112
rtdetr-l,count,bo_exploration,5.210089285714285,1.8841804658769485,112
rtdetr-l,count,grid_search,6.000178571428571,0.5317284109017525,112
rtdetr-l,map,bo_exploitation,13.584905660377359,6.23540376295575,53
rtdetr-l,map,bo_exploration,13.228727272727273,6.553924200373575,55
rtdetr-l,map,grid_search,17.622307692307693,6.474676346028581,52
yolo11m,count,bo_exploitation,3.308053097345133,1.1591867980915698,113
yolo11m,count,bo_exploration,3.6326724137931032,1.2256337191401245,116
yolo11m,count,grid_search,4.223805309734513,0.6227951374134522,113
yolo11m,map,bo_exploitation,10.118301886792452,4.8739928884173125,53
yolo11m,map,bo_exploration,9.947407407407407,4.642691227174978,54
yolo11m,map,grid_search,13.579230769230769,5.872284803076776,52
yolo11n,count,bo_exploitation,3.3490265486725663,1.2183932368681376,113
yolo11n,count,bo_exploration,3.6436283185840708,1.2579738967503191,113
yolo11n,count,grid_search,3.9577876106194694,0.6454369152991227,113
yolo11n,map,bo_exploitation,10.025098039215687,5.241040878508398,51
yolo11n,map,bo_exploration,9.805,5.089726099183126,52
yolo11n,map,grid_search,12.77450980392157,5.824762763830125,51
