filename,trt,date,time,obs
t1-A1_1.JPEG,virus,2023-02-28,05:00,1063
t1-A1_2.JPEG,virus,2023-03-01,11:00,
t1-A1_3.JPEG,virus,2023-03-02,17:00,1157
t1-A1_4.JPEG,virus,2023-03-03,23:00,
t1-A1_5.JPEG,virus,2023-03-04,05:00,1186
t1-A1_6.JPEG,virus,2023-03-05,11:00,
t1-A1_7.JPEG,virus,2023-03-06,17:00,967
t1-A1_8.JPEG,virus,2023-03-07,05:00,399
t1-A1_9.JPEG,virus,2023-03-08,17:00,1342
t1-A1_10.JPEG,virus,2023-03-09,05:00,386
t1-A1_11.JPEG,virus,2023-03-10,17:00,1163
t1-A1_12.JPEG,virus,2023-03-11,05:00,1188
t1-A1_13.JPEG,virus,2023-03-12,17:00,1176
t1-A1_14.JPEG,virus,2023-03-13,05:00,956
t1-A1_15.JPEG,virus,2023-03-14,17:00,1370
t1-A1_16.JPEG,virus,2023-03-15,05:00,1273
t1-A1_17.JPEG,virus,2023-03-16,17:00,1523
t1-A1_18.JPEG,virus,2023-03-17,05:00,1686
t1-A1_19.JPEG,virus,2023-03-18,17:00,1156
t1-A1_20.JPEG,virus,2023-03-19,05:00,964
t1-A1_21.JPEG,virus,2023-03-20,17:00,1697
t1-A1_22.JPEG,virus,2023-03-21,05:00,
t1-A1_23.JPEG,virus,2023-03-22,17:00,1098
t1-A1_24.JPEG,virus,2023-03-23,05:00,1339
t1-A1_25.JPEG,virus,2023-03-24,17:00,1841
t1-A1_26.JPEG,virus,2023-03-25,05:00,1212
t1-A1_27.JPEG,virus,2023-03-26,17:00,1352
t1-A1_28.JPEG,virus,2023-03-27,05:00,1137
t1-A1_29.JPEG,virus,2023-03-28,17:00,1389
t1-A1_30.JPEG,virus,2023-03-29,05:00,1136
t1-A1_31.JPEG,virus,2023-03-30,17:00,1463
t2-A2_1.JPEG,control,2023-02-28,05:00,654
t2-A2_2.JPEG,control,2023-03-01,11:00,
t2-A2_3.JPEG,control,2023-03-02,17:00,676
t2-A2_4.JPEG,control,2023-03-03,23:00,
t2-A2_5.JPEG,control,2023-03-04,05:00,516
t2-A2_6.JPEG,control,2023-03-05,11:00,
t2-A2_7.JPEG,control,2023-03-06,17:00,216
t2-A2_8.JPEG,control,2023-03-07,05:00,321
t2-A2_9.JPEG,control,2023-03-08,17:00,906
t2-A2_10.JPEG,control,2023-03-09,05:00,239
t2-A2_11.JPEG,control,2023-03-10,17:00,764
t2-A2_12.JPEG,control,2023-03-11,05:00,840
t2-A2_13.JPEG,control,2023-03-12,17:00,1350
t2-A2_14.JPEG,control,2023-03-13,05:00,686
t2-A2_15.JPEG,control,2023-03-14,17:00,878
t2-A2_16.JPEG,control,2023-03-15,05:00,811
t2-A2_17.JPEG,control,2023-03-16,17:00,988
t2-A2_18.JPEG,control,2023-03-17,05:00,1030
t2-A2_19.JPEG,control,2023-03-18,17:00,970
t2-A2_20.JPEG,control,2023-03-19,05:00,471
t2-A2_21.JPEG,control,2023-03-20,17:00,1084
t2-A2_22.JPEG,control,2023-03-21,05:00,
t2-A2_23.JPEG,control,2023-03-22,17:00,1087
t2-A2_24.JPEG,control,2023-03-23,05:00,541
t2-A2_25.JPEG,control,2023-03-24,17:00,1105
t2-A2_26.JPEG,control,2023-03-25,05:00,634
t2-A2_27.JPEG,control,2023-03-26,17:00,691
t2-A2_28.JPEG,control,2023-03-27,05:00,748
t2-A2_29.JPEG,control,2023-03-28,17:00,958
t2-A2_30.JPEG,control,2023-03-29,05:00,785
t2-A2_31.JPEG,control,2023-03-30,17:00,988
