study,split,mean,std,count,median,min,max,sum,width,height,ratio_wh
study1,test_a01,4.587301587301587,3.8256495253442497,378,4.0,0,24,1734,0.03357138280148661,0.04539029860310137,0.8070641206797435
study1,test_a02,4.380622837370242,4.296369384550682,289,3.0,0,28,1266,0.029188377654906093,0.03920677549587502,0.8065750398398942
study1,test_a03,6.107142857142857,6.145740790997442,56,4.5,0,39,342,0.028682261208576997,0.037389998917045704,0.8388192025368368
study1,test_b01,29.979591836734695,12.229557425758792,49,29.0,9,83,1469,0.02642986063837834,0.03529878602223735,0.8182710495946819
study1,test_b02,5.96078431372549,5.350898080682391,102,4.0,0,28,608,0.033495237116228066,0.045089424951267054,0.8070692611454939
study1,test_b03,0.6941747572815534,1.2643961437521498,206,0.0,0,11,143,0.026220134032634033,0.03867320642320642,0.7341264553403127
study1,train,9.20020964360587,7.37076553934267,954,7.0,4,59,8777,0.03213481257832973,0.04317812126812924,0.8002075061800171
study2,test_dense,1390.25,496.877184463805,60,1395.5,382,2553,83415,0.00984905926931607,0.0077664249542768096,1.365587593760435
study2,test_inat,53.7,42.62949312636179,20,38.0,4,164,1074,0.04450562280157252,0.04319126615752288,1.1548669527728708
study2,train,10.249217282404508,8.813680252879706,1597,7.0,4,83,16368,0.03128740657583904,0.042357492374461465,0.797313367917577
